Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,1.51,0,0
0.1,0.004,7.83,0,0
0.2,0.013,241.8,0.00004,0.00002
0.3,0.024,355.79,0.00008,0.00004
0.4,0.033,451.47,0.00011,0.00005
0.5,0.042,556.79,0.00012,0.00006
0.6,0.05,649.64,0.00014,0.00007
0.7,0.058,740.73,0.00015,0.00008
0.8,0.067,820.16,0.00017,0.00008
0.9,0.075,868.01,0.00018,0.00009
1,0.084,901.63,0.0002,0.0001
1.1,0.092,918.8,0.0002,0.00011
1.2,0.1,931.57,0.00022,0.00012
1.3,0.108,959.91,0.00023,0.00013
1.4,0.117,1006.48,0.00024,0.00014
1.5,0.125,1022.55,0.00024,0.00017
1.6,0.134,1046.32,0.00025,0.0002
1.7,0.142,1076.07,0.00026,0.00021
1.8,0.15,1114.74,0.00027,0.00023
1.9,0.158,1166.99,0.00028,0.00024
2,0.167,1229.71,0.0003,0.00025
2.1,0.175,1270.43,0.00031,0.00025
2.2,0.183,1326.21,0.00032,0.00026
2.3,0.192,1379.92,0.00034,0.00026
2.4,0.2,1402.49,0.00035,0.00027
2.5,0.208,1427.5,0.00036,0.00027
2.6,0.217,1472.62,0.00037,0.00028
2.7,0.225,1535.53,0.00039,0.00028
2.8,0.233,1600.39,0.0004,0.00029
2.9,0.242,1644.36,0.00041,0.00029
3,0.25,1674.73,0.00042,0.0003
3.1,0.258,1750.21,0.00043,0.0003
3.2,0.267,1815.71,0.00044,0.0003
3.3,0.275,1850.55,0.00046,0.00031
3.4,0.283,1889.86,0.00047,0.00031
3.5,0.292,1912.88,0.00048,0.00032
3.6,0.3,1943.72,0.00049,0.00032
3.7,0.308,2015.77,0.0005,0.00033
3.8,0.317,2095.59,0.00052,0.00033
3.9,0.325,2183.1,0.00053,0.00034
4,0.333,2247.22,0.00054,0.00034
4.1,0.342,2286.3,0.00055,0.00035
4.2,0.35,2325.22,0.00056,0.00035
4.3,0.358,2396.73,0.00058,0.00035
4.4,0.367,2436.57,0.00059,0.00036
4.5,0.375,2471.7,0.0006,0.00036
4.6,0.383,2492.36,0.00061,0.00036
4.7,0.392,2536.68,0.00062,0.00037
4.8,0.4,2635.77,0.00063,0.00037
4.9,0.408,2692.74,0.00065,0.00037
5,0.417,2785.26,0.00066,0.00038
5.1,0.425,2861.6,0.00067,0.00038
5.2,0.433,2902.32,0.00069,0.00038
5.3,0.442,2955.31,0.0007,0.00039
5.4,0.45,2987.54,0.00071,0.00039
5.5,0.458,3051.71,0.00072,0.00039
5.6,0.467,3086.85,0.00073,0.0004
5.7,0.475,3137.73,0.00074,0.0004
5.8,0.483,3227.39,0.00076,0.0004
5.9,0.492,3317.29,0.00077,0.00041
6,0.5,3365.47,0.00078,0.00041
6.1,0.508,3423.86,0.00079,0.00041
6.2,0.517,3469.94,0.0008,0.00041
6.3,0.525,3531.79,0.00082,0.00042
6.4,0.533,3609.11,0.00083,0.00042
6.5,0.542,3713.42,0.00084,0.00042
6.6,0.55,3744.14,0.00086,0.00042
6.7,0.558,3870.47,0.00087,0.00042
6.8,0.567,3959.69,0.00088,0.00041
6.9,0.575,3984.9,0.00089,0.00041
7,0.583,4016.99,0.0009,0.0004
7.1,0.592,4102.82,0.00092,0.0004
7.2,0.6,4159.87,0.00093,0.0004
7.3,0.608,4247.17,0.00094,0.0004
7.4,0.617,4332.24,0.00096,0.00041
7.5,0.625,4405.56,0.00097,0.00041
7.6,0.633,4469.77,0.00098,0.00041
7.7,0.642,4498.27,0.00099,0.00042
7.8,0.65,4539.02,0.00101,0.00042
7.9,0.658,4646.12,0.00102,0.00042
8,0.667,4771.19,0.00104,0.00042
8.1,0.675,4855.07,0.00105,0.00043
8.2,0.684,4956.44,0.00106,0.00043
8.3,0.692,5001.25,0.00107,0.00043
8.4,0.7,5032.48,0.00109,0.00044
8.5,0.709,5126.83,0.0011,0.00044
8.6,0.717,5180.31,0.00111,0.00044
8.7,0.725,5294.72,0.00113,0.00045
8.8,0.733,5390.09,0.00114,0.00045
8.9,0.742,5479.76,0.00116,0.00045
9,0.75,5540.82,0.00117,0.00046
9.1,0.758,5577.9,0.00118,0.00046
9.2,0.767,5633.02,0.0012,0.00046
9.3,0.775,5783.54,0.00121,0.00047
9.4,0.783,5833.04,0.00122,0.00047
9.5,0.792,5935.71,0.00124,0.00047
9.6,0.8,5991.2,0.00125,0.00048
9.7,0.808,6048.72,0.00127,0.00048
9.8,0.817,6170.52,0.00129,0.00048
9.9,0.825,6234.54,0.0013,0.00048
10,0.833,6360.12,0.00131,0.00049
10.1,0.842,6432.22,0.00133,0.00049
10.2,0.85,6501.82,0.00134,0.00049
10.3,0.858,6526.01,0.00135,0.0005
10.4,0.867,6593.88,0.00137,0.0005
10.5,0.875,6717.9,0.00138,0.0005
10.6,0.883,6819.1,0.0014,0.0005
10.7,0.892,6977.19,0.00141,0.00051
10.8,0.9,7062.93,0.00143,0.00051
10.9,0.908,7083.75,0.00144,0.00052
11,0.917,7152.41,0.00146,0.00052
11.1,0.925,7231.06,0.00147,0.00052
